/home/pasquale/anaconda3/lib/python3.6/importlib/_bootstrap.py:219: RuntimeWarning: compiletime version 3.5 of module 'tensorflow.python.framework.fast_tensor_util' does not match runtime version 3.6
  return f(*args, **kwds)
/home/pasquale/anaconda3/lib/python3.6/site-packages/h5py/__init__.py:34: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
INFO:nli-cli.py:Command line: -m cbilstm -b 32 -d 0.8 -r 300 -o adam --lr 0.001 -c 100 -e 100 --glove /home/pasquale/data/glove/glove.840B.300d.txt --save saved/snli/cbilstm/1/cbilstm
INFO:nli-cli.py:Reading corpus ..
2018-04-10 21:20:55.757135: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-04-10 21:20:55.896819: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-04-10 21:20:55.897158: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: TITAN X (Pascal) major: 6 minor: 1 memoryClockRate(GHz): 1.531
pciBusID: 0000:02:00.0
totalMemory: 11.90GiB freeMemory: 10.47GiB
2018-04-10 21:20:55.897171: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:02:00.0, compute capability: 6.1)
/home/pasquale/anaconda3/lib/python3.6/site-packages/tensorflow/python/ops/gradients_impl.py:96: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
INFO:root:discriminator/lstm/sequence1_rnn/FW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence1_rnn/FW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence1_rnn/BW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence1_rnn/BW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence2_rnn/FW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence2_rnn/FW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence2_rnn/BW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence2_rnn/BW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/hidden/kernel:0 ((600, 300)): 180000 params
INFO:root:discriminator/lstm/hidden/bias:0 ((300,)): 300 params
INFO:root:discriminator/lstm/classification/kernel:0 ((300, 3)): 900 params
INFO:root:discriminator/lstm/classification/bias:0 ((3,)): 3 params
INFO:nli-cli.py:Total Parameters: 3066003
INFO:root:discriminator/embeddings:0 ((43156, 300)): 12946800 params
INFO:root:discriminator/lstm/sequence1_rnn/FW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence1_rnn/FW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence1_rnn/BW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence1_rnn/BW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence2_rnn/FW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence2_rnn/FW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence2_rnn/BW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence2_rnn/BW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/hidden/kernel:0 ((600, 300)): 180000 params
INFO:root:discriminator/lstm/hidden/bias:0 ((300,)): 300 params
INFO:root:discriminator/lstm/classification/kernel:0 ((300, 3)): 900 params
INFO:root:discriminator/lstm/classification/bias:0 ((3,)): 3 params
INFO:nli-cli.py:Total Discriminator Parameters: 16012803
INFO:root:discriminator/lstm/sequence1_rnn/FW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence1_rnn/FW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence1_rnn/BW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence1_rnn/BW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence2_rnn/FW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence2_rnn/FW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/sequence2_rnn/BW/kernel:0 ((600, 1200)): 720000 params
INFO:root:discriminator/lstm/sequence2_rnn/BW/bias:0 ((1200,)): 1200 params
INFO:root:discriminator/lstm/hidden/kernel:0 ((600, 300)): 180000 params
INFO:root:discriminator/lstm/hidden/bias:0 ((300,)): 300 params
INFO:root:discriminator/lstm/classification/kernel:0 ((300, 3)): 900 params
INFO:root:discriminator/lstm/classification/bias:0 ((3,)): 3 params
INFO:nli-cli.py:Total Trainable Discriminator Parameters: 3066003
INFO:nli-cli.py:Epoch 1, Batch 100	Loss: 0.0329 ± 0.0020
INFO:nli-cli.py:Epoch 1, Batch 200	Loss: 0.0307 ± 0.0027
INFO:nli-cli.py:Epoch 1, Batch 300	Loss: 0.0299 ± 0.0029
INFO:nli-cli.py:Epoch 1, Batch 400	Loss: 0.0295 ± 0.0030
INFO:nli-cli.py:Epoch 1, Batch 500	Loss: 0.0285 ± 0.0030
INFO:nli-cli.py:Epoch 1, Batch 600	Loss: 0.0285 ± 0.0033
INFO:nli-cli.py:Epoch 1, Batch 700	Loss: 0.0278 ± 0.0027
INFO:nli-cli.py:Epoch 1, Batch 800	Loss: 0.0277 ± 0.0029
INFO:nli-cli.py:Epoch 1, Batch 900	Loss: 0.0275 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 1000	Loss: 0.0274 ± 0.0033
INFO:nli-cli.py:Epoch 1, Batch 1100	Loss: 0.0276 ± 0.0034
INFO:nli-cli.py:Epoch 1, Batch 1200	Loss: 0.0267 ± 0.0034
INFO:nli-cli.py:Epoch 1, Batch 1300	Loss: 0.0276 ± 0.0028
INFO:nli-cli.py:Epoch 1, Batch 1400	Loss: 0.0265 ± 0.0032
INFO:nli-cli.py:Epoch 1, Batch 1500	Loss: 0.0266 ± 0.0031
INFO:nli-cli.py:Epoch 1, Batch 1600	Loss: 0.0262 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 1700	Loss: 0.0264 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 1800	Loss: 0.0262 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 1900	Loss: 0.0262 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 2000	Loss: 0.0262 ± 0.0034
INFO:nli-cli.py:Epoch 1, Batch 2100	Loss: 0.0258 ± 0.0036
INFO:nli-cli.py:Epoch 1, Batch 2200	Loss: 0.0252 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 2300	Loss: 0.0261 ± 0.0033
INFO:nli-cli.py:Epoch 1, Batch 2400	Loss: 0.0262 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 2500	Loss: 0.0257 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 2600	Loss: 0.0256 ± 0.0039
INFO:nli-cli.py:Epoch 1, Batch 2700	Loss: 0.0254 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 2800	Loss: 0.0246 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 2900	Loss: 0.0244 ± 0.0033
INFO:nli-cli.py:Epoch 1, Batch 3000	Loss: 0.0245 ± 0.0043
INFO:nli-cli.py:Epoch 1, Batch 3100	Loss: 0.0248 ± 0.0040
INFO:nli-cli.py:Epoch 1, Batch 3200	Loss: 0.0248 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 3300	Loss: 0.0244 ± 0.0032
INFO:nli-cli.py:Epoch 1, Batch 3400	Loss: 0.0247 ± 0.0038
INFO:nli-cli.py:Epoch 1, Batch 3500	Loss: 0.0244 ± 0.0034
INFO:nli-cli.py:Epoch 1, Batch 3600	Loss: 0.0245 ± 0.0034
INFO:nli-cli.py:Epoch 1, Batch 3700	Loss: 0.0244 ± 0.0038
INFO:nli-cli.py:Epoch 1, Batch 3800	Loss: 0.0250 ± 0.0036
INFO:nli-cli.py:Epoch 1, Batch 3900	Loss: 0.0244 ± 0.0038
INFO:nli-cli.py:Epoch 1, Batch 4000	Loss: 0.0245 ± 0.0029
INFO:nli-cli.py:Epoch 1, Batch 4100	Loss: 0.0240 ± 0.0034
INFO:nli-cli.py:Epoch 1, Batch 4200	Loss: 0.0242 ± 0.0033
INFO:nli-cli.py:Epoch 1, Batch 4300	Loss: 0.0246 ± 0.0041
INFO:nli-cli.py:Epoch 1, Batch 4400	Loss: 0.0245 ± 0.0035
INFO:nli-cli.py:Epoch 1, Batch 4500	Loss: 0.0243 ± 0.0036
INFO:nli-cli.py:Epoch 1, Batch 4600	Loss: 0.0238 ± 0.0045
INFO:nli-cli.py:Epoch 1, Batch 4700	Loss: 0.0239 ± 0.0041
INFO:nli-cli.py:Epoch 1, Batch 4800	Loss: 0.0238 ± 0.0039
INFO:nli-cli.py:Epoch 1, Batch 4900	Loss: 0.0236 ± 0.0036
INFO:nli-cli.py:Epoch 1, Batch 5000	Loss: 0.0237 ± 0.0033
INFO:nli-cli.py:Epoch 1, Batch 5100	Loss: 0.0241 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 5200	Loss: 0.0229 ± 0.0032
INFO:nli-cli.py:Epoch 1, Batch 5300	Loss: 0.0236 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 5400	Loss: 0.0229 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 5500	Loss: 0.0235 ± 0.0032
INFO:nli-cli.py:Epoch 1, Batch 5600	Loss: 0.0226 ± 0.0041
INFO:nli-cli.py:Epoch 1, Batch 5700	Loss: 0.0231 ± 0.0037
INFO:nli-cli.py:Epoch 1, Batch 5800	Loss: 0.0229 ± 0.0040
INFO:nli-cli.py:Epoch 1, Batch 5900	Loss: 0.0230 ± 0.0039
INFO:nli-cli.py:Epoch 1, Batch 6000	Loss: 0.0227 ± 0.0040
INFO:nli-cli.py:Epoch 1, Batch 6100	Loss: 0.0235 ± 0.0042
